Text,X,Y,Width,Height,Score,Page
MP3 077,52.5,13.5,57,21,0.9666457525951168,121
kilometer [krlomto],76.5,52.5,101,15,0.806201502650368,121
kilo/meter,119.0,72.5,54,13,0.9676060778215343,121
公里,215.0,79.0,34,14,0.9307275878815949,121
thousand/ measure,111.0,85.0,80,12,0.8308700482035428,121
 The official distance of a marathon is 42.195 kilometers,163.5,106.0,245,10,0.9797484152066038,121
馬拉松的准長度是42.195公里,112.0,120.0,126,10,0.8288911664004348,121
mill-: thousand,71.0,165.5,90,17,0.7418295751773363,121
millennium (mol:ntam),84.5,189.5,113,13,0.787384460251476,121
千禧年：一千年millennia,264.5,209.25,131,14,0.7840718884746949,121
mill/enni/um,119.0,215.5,68,11,0.877576273040108,121
国millennial干禧年的,249.0,223.5,100,13,0.8398698834921898,121
thousand/year/名同字尾,118.0,228.5,104,13,0.8226567752931803,121
千禧世代·Y世代,291.0,237.0,80,14,0.9382316388339264,121
·We are at the beginning of the third millennium,146.5,257.0,211,10,0.7968976813938533,121
我们正虑於第三假干楼年的,110.5,270.0,121,10,0.9404712453527484,121
·Millennials tend to wed later. if at all.,124.5,290.0,167,10,0.7911328646535378,121
干世代如果有结婚的話通常晚婚·,122.5,304.0,145,10,0.8291182439383024,121
"millimeter [mtlo,mit>]",81.5,338.75,107,15,0.8093939965597511,121
milli/ meter,119.0,359.25,56,16,0.8720702379954259,121
公，毫米,229.0,366.5,58,11,0.9090179982302278,121
thousandth / measure,109.5,372.0,89,12,0.8454917522504032,121
● The CWB predicts that the typhoon will bring 300 millimeters of rain to,198.0,393.5,316,13,0.8820089336379034,121
the Yangmingshan area.,101.0,407.5,104,13,0.8087955309716939,121
中央氨局箱逛壁用隔明1地愿带来300公量的面量,155.5,420.5,211,7,0.8997903907390234,121
"mega- (megalo-): million, great",118.0,465.0,182,16,0.8231936918963247,121
"megaphone [mga,fon]",83.0,488.5,110,15,0.8787332450128381,121
mega / phone,119.5,508.5,59,11,0.8267105807094498,121
器,220.0,515.0,42,14,0.6613007368396224,121
great/sound,118.5,521.5,55,11,0.8011687980258186,121
Part1通用學撕字巢：依字首分题,302.5,10.0,129,14,0.7762183770027778,122
• The leader of the parade uses a megaphone to keep order.,155.0,59.5,252,13,0.7902814395617224,122
避行能袖用音器维持秩序·,89.5,72.5,105,9,0.9019691407349254,122
"megabyte [m:go,bat]",66.5,108.0,101,14,0.846200811493429,122
mega/byte,106.5,126.5,59,21,0.8995468608157896,122
百萬位元粗,218.0,134.5,58,11,0.8296879614703357,122
million/byte,104.5,140.5,61,17,0.7657557261145685,122
"·This is a small, 512-megabyte SD card",117.0,161.0,174,10,0.8461634085033307,122
这是一枚512MB（百萬位元相）小容量的安全数位卡,137.0,175.0,198,10,0.7523945033304997,122
"megalomania (,mrgolo mento]",85.5,198.5,139,13,0.8249048753277748,122
自大狂,209.5,217.5,43,15,0.8526282286820384,122
megalo / ment / ia,108.0,224.0,80,14,0.8277670107149083,122
图megalomaniac 自大狂的,248.5,231.5,123,17,0.7624349215246696,122
great/mind/名字尾,125.0,237.5,92,17,0.7724622547779981,122
自大狂患者,288.5,245.0,55,14,0.8280395650780493,122
• The man suffers from megalomania and believes he must save the,173.5,264.5,289,13,0.8393803097009901,122
world.,51.0,279.0,32,14,0.8751542005213975,122
此人患有自大狂·為要他来救世界,115.0,291.5,160,15,0.7835283053236017,122
giga-:billion，giant,104.5,337.0,179,16,0.7446979163948582,122
gigantic [dyar’gentk],65.5,361.5,99,17,0.8997284158656041,122
giga/antic,108.0,379.0,56,20,0.8584011030357538,122
巨大的,209.5,386.5,43,15,0.9688166749485106,122
giant/形容网字尾,115.5,393.5,73,17,0.8647436652889675,122
• The budget for national defense is gigantic,126.0,414.5,192,13,0.9652532759337471,122
國防预算十分大·,74.5,427.5,75,11,0.7840786968766994,122
"gigabyte (°grgo,bat]",64.0,464.0,96,16,0.8326520522120673,122
giga /byte,108.5,482.0,51,18,0.796590449749724,122
图十億位元粗,219.0,489.0,60,14,0.962297055285424,122
billion /byte,104.0,495.0,56,14,0.9182233374769655,122
• This PC comes with a 500-gigabyte hard drive.,133.0,514.5,210,15,0.8267526330427126,122
遇台個人電内建500G（十位元相）的硬,127.0,528.5,180,13,0.7758492230387651,122
Reading,84.0,20.5,72,21,0.8276702487911982,123
Symbiosis,190.5,54.5,61,17,0.7487245885542549,123
Symbiosis is a sustained state of collaboration between two,186.5,81.0,257,14,0.7835580446145893,123
different types of organisms. It often comes in the form of perpetual,184.5,95.0,299,14,0.763389490305358,123
"cohabitation of members of different species, usually with benefits to",186.0,109.0,304,14,0.7909693297324084,123
the survival of at least one of the parties,124.0,124.5,176,13,0.7154020441578801,123
Symbiosis helps animals transcend obstacles and avert mishap,193.5,152.0,271,12,0.7057151927340359,123
"In the Great Barrier Reef,many aboriginal as well as exotic species",183.0,167.0,292,10,0.7956839053252135,123
"live in symbiosis. Clownfish and sea anemones, for example, are",177.5,181.0,281,10,0.8406481321161824,123
benefactors to each other.Clownfish intervene when other organisms,187.0,195.0,300,10,0.7181610614554375,123
"try to harm the sea anemones.When clownfish feed, the food scraps",184.5,208.25,297,12,0.836620566203979,123
are picked up by the anemones before they decompose.,157.0,223.0,238,10,0.7436250711830426,123
"The benefits of symbiosis are seldom unilateral,however.In this",198.0,250.0,282,12,0.7214167343589343,123
"case,the poisonous anemones also deter predators of clownfish,such",187.5,265.0,299,10,0.9064439972902515,123
"as octopuses,in effect setting up a ""No Trespassing"" sign.Clownfish",186.5,279.0,301,12,0.8008204604347616,123
usually,53.0,293.0,32,10,0.7021495740381081,123
abstain from venturing too far from sea anemones even when,203.5,293.5,269,13,0.8383947448322067,123
"seduced by prey, for fear that they might perish.",140.5,307.5,209,13,0.7142689209114074,123
"According to biologist Lynn Margulis,symbiosis is an efficacious",201.5,335.5,285,9,0.7974804708223748,123
though sometimes imperceptible driving force behind evolution,176.0,348.0,280,14,0.74851465621401,123
"She regards Darwin’s notion of evolution, driven by competition, as",185.0,362.5,296,13,0.8859719721066801,123
incomplete.and claims evolution is firmly based on collaboration,180.5,377.0,287,10,0.7158036716599855,123
"interaction, and mutual dependence among organisms.",155.0,391.5,238,13,0.8013822003580251,123
"In short, symbiosis is by no means abnormal. It pervades the",189.0,419.0,262,10,0.8790816881660156,123
"whole biosphere,in cnvironments as diverse as subterranean caves",182.5,433.0,289,10,0.8594679472870631,123
and submarine hotspots. It is found among organisms from microbes,186.5,447.5,299,13,0.731703250000424,123
to bipeds to quadrupeds. Human beings would soon expire if there,181.0,461.5,290,13,0.7435358577514009,123
"were no trees,which produce the oxygen we breathe, through",170.0,474.5,268,13,0.766307003870177,123
photosynthesis.It would be an instance of megalomania to claim,178.0,488.0,282,12,0.7556288839892898,123
"that humans can live in solitude in the universe.Therefore,wild life",184.0,502.0,294,10,0.7573544949392113,123
conservation is vital to the verv,105.5,516.5,139,11,0.7780134703666871,123
suryivalofhumans,218.0,516.5,82,7,0.8821727616147759,123
關,64.5,21.5,29,15,0.7778440840996466,124
共生,191.0,52.5,24,15,0.6955459208716408,124
共生是兩種生物之持的合作·探取的形式往往是不同物種的生物永久,199.5,79.0,291,10,0.697990099293533,124
生活在一起，通常至少會封一方的生存有好處,124.0,93.0,174,10,0.8337173637516168,124
共生可以超助勤物克服阳、追望炎勤·在大堡碼·許多原生種奥外来物種都,199.5,121.5,289,7,0.9566077407804814,124
有共生现象-例如小开鱼和海奏就能互惠·别的生物想要得害海姿·小开鱼就营干,191.5,135.5,305,7,0.9535909036063708,124
不過·共生的好虑很少是事漫的-在比创中·有毒的海美世能阻小丑鱼的照,199.5,178.5,289,7,0.9629503838588416,124
食者，例如草魚·這等於是竖起一境「禁止擅開」的告示·小丑魚通常不會冒除,191.0,192.5,308,11,0.8752082986789723,124
望海基大德·就受到疆物引時均不剂列·因为的减广,149.5,205.5,223,7,0.9155024474513166,124
生物廖家淋·馬古利断表示·共生是有效的原動力、推動演化，星然有晓候者,199.5,234.5,289,7,0.7389835757780501,124
不出来·達因文的演化填是以装爭無愿動力·银为此跟不精完整·然表示清化表,191.5,248.5,305,7,0.9692246406438836,124
重要的基碟在於生物之盾的合作、互勤·以及互相体辑,141.5,262.5,207,7,0.9679779037031413,124
键三之·共生非最常现象·它充厅的整生物圈的各種不因量中·娄地下,200.0,290.5,290,7,0.981571406306751,124
同穴到海底然點·黏可登比现象·而目各生物·提微生物到滿定和物、四足制,191.5,304.5,305,7,0.8590114304707689,124
物·都有共生现象·如果有木·人频很快會亡·因為木經由光合作用製造,191.5,319.0,307,10,0.7693151741474216,124
我們呼吸所需的氧氣·假如有人貌，人類可以單在宇雷同存活，那此人一定患,192.0,333.0,308,10,0.8172798682730097,124
有自大狂·所以·野生動物保育可以和人频的生存息息相,153.0,346.0,230,10,0.9367144346470013,124
Part 2,185.5,142.5,115,35,0.9106150794193917,126
通用學术字,184.5,204.5,311,47,0.9507585508407645,126
依字根分類,185.0,270.0,270,52,0.8982096819421106,126
表示「方位」的字根,202.0,20.0,240,30,0.9703544775062594,127
MP3079,48.5,73.5,65,29,0.7983890766379805,127
loc:place,81.0,109.0,124,20,0.9406392559094329,127
location [lo’kejon],68.0,137.0,96,20,0.7814674780495375,127
loc/ation,121.5,157.5,55,21,0.9058356951151428,127
地點，位置,243.0,159.5,68,17,0.8581678559224982,127
place/名同字尾,121.5,174.0,71,18,0.9052371320893358,127
国locate找到：座落,264.0,175.0,108,14,0.8486490844136033,127
■ This house has a convenient location,126.5,195.5,185,13,0.8295155078257903,127
這間房子的地點便利,89.5,211.0,91,14,0.7849912716120362,127
■ The dentist is still trying to locate the nerve.,142.5,232.0,217,16,0.8868561049885287,127
身普還在找神經·,81.0,247.5,72,11,0.8520083790141283,127
■ The house is located near a river.,117.0,269.0,168,16,0.9045712909329746,127
房子座落在河川不速處,94.0,284.5,100,13,0.8517224213100612,127
"allocate [αlo,ket]",67.0,322.75,94,20,0.8269798201247252,127
ad /loc/ate,123.0,344.5,62,17,0.8827541377145036,127
分配：分派,244.0,345.0,68,16,0.7992736579335528,127
to/place/勤润字尾,134.5,358.5,87,17,0.9516389678366741,127
国allocation分配：分派,269.5,360.0,119,14,0.7908122037989399,127
"■ As General Manager, you must see to it that company resources are",197.5,382.0,327,16,0.8253907788668435,127
allocated equally.,86.5,396.5,85,15,0.8653454951032694,127
身為經理，你得負责将公司資源作公平的分配,145.5,412.5,201,13,0.8977630297756126,127
"locomotion (,loko mojon)",86.0,437.5,128,17,0.7994420731036853,127
loc(o)/mot /ion,122.5,458.0,85,18,0.8633403425673181,127
位移·移動,244.5,459.0,65,14,0.8586033520628751,127
place/move/名词字尾,133.0,473.0,104,16,0.8359301614905911,127
motion客動作,251.5,474.5,77,11,0.7585613634847695,127
 Some animals achieve locomotion by changing body shape.,179.0,494.5,292,19,0.7051856915934988,127
有些動物達成位移·靠的是體型化,122.0,510.0,150,10,0.908304425801988,127
Part2通用學指字量：使字根分期,302.5,11.0,127,10,0.817851816992739,128
0,25.0,21.5,18,17,0.8282029044232331,128
MP3080,49.5,23.5,35,11,0.7846379763999943,128
locomotive [lokamotiv],73.5,60.5,113,13,0.9487548130388005,128
loc（o)/mot /ive,108.5,79.5,71,11,0.870272019642523,128
火車頭,209.0,86.5,40,11,0.976510391621442,128
place/move/名字尾,118.0,92.0,90,12,0.9705909457276849,128
· The stock market and the real estate market are the twin locomotives of,185.5,114.0,309,10,0.7721380526446032,128
a nation's economy.,80.5,128.0,87,12,0.8852170552407322,128
股市和房市是带動家轻演的一封火車,115.0,141.0,154,10,0.798478810896203,128
relocate [riloket],58.0,162.5,82,13,0.850483058448341,128
re /loe / ate,108.0,181.0,54,14,0.8696913622326584,128
国重新安置：搬,227.0,182.0,76,10,0.8963214198172661,128
again/ place/血洞字尾,111.0,195.5,90,13,0.9057501949469692,128
relocation重新安置：,250.5,195.75,123,14,0.8124114491341363,128
 He went to see a doctor to relocate his dislocated shoulder.,157.5,215.0,255,12,0.7760476032726001,128
他去看替生·清替生帮他将脱日的肩位,119.0,229.0,162,10,0.9171578253221347,128
• The company has relocated to Shanghai.,120.0,248.5,180,13,0.8514103519607727,128
公司已规搬到上海了,78.5,262.0,81,10,0.8060131722619656,128
centr:center,54.0,306.5,80,17,0.9016902374702795,128
concentrate [kanson_tret,75.5,330.0,115,10,0.7151305055310665,128
con / centr/ate,108.5,349.5,69,11,0.8100434791973666,128
集中，專注,220.5,349.5,61,11,0.8521094405023103,128
缩液,274.5,349.5,41,11,0.9409217399164616,128
together/center/勤字足,109.0,362.0,104,14,0.8423996884956118,128
concentration集中·事注,250.0,363.5,122,13,0.8491930248443451,128
"• It’s difficult to concentrate on the reading, with so much noise around",183.0,383.0,304,10,0.9302539799187407,128
四周太吵·很毒注在上,94.5,397.0,113,10,0.7575841112683738,128
• The bottled juice was restored from juice concentrates,149.5,416.0,239,12,0.8133406782716568,128
装果汁是由果汁缩液流原而或,103.5,430.5,127,7,0.8264402131979507,128
concentric [konsentrk],72.5,463.0,107,10,0.9506293365731836,128
con/centr/ic,108.5,481.5,63,11,0.9023994758861573,128
同圆心的,213.5,488.5,49,11,0.9169018025096092,128
together/center/形容字尾,116.5,494.0,113,12,0.8846713688573068,128
● The shooting target is composed of a series of concentric circles.,170.5,515.5,281,13,0.8271328256931155,128
射標是由一一圈的同心面得成的,112.5,529.0,145,10,0.8233043217859766,128
MP3081,50.0,13.75,58,26,0.789825225380986,129
"decentralize [di°scntro,laz]",88.0,55.0,124,14,0.7651265414484864,129
de/centr/alize,117.5,74.5,77,17,0.7734555458305638,129
分散,215.0,74.5,36,17,0.8503272197956656,129
not/center/词字尾,121.0,87.0,88,14,0.8363599556518698,129
decentralization名分歌,253.0,88.0,110,14,0.8219608769299009,129
• The company decentralized operations by setting up eight branch,182.5,108.0,287,14,0.8400610259662743,129
"offices,",63.5,123.0,35,14,0.8634120667477448,129
公司分散，做法是成立八家分部。,117.0,136.5,142,13,0.9659024319456271,129
eccentric [tk stntrk],74.0,160.5,96,13,0.7850634820299991,129
古怪的人,271.5,180.0,53,14,0.7598881085118941,129
ec/centr/ic,117.0,180.5,64,17,0.7726822148247611,129
古怪的,223.5,180.5,43,15,0.8303354311253716,129
out/center/形容同字尾,131.5,192.75,99,16,0.7786760487916697,129
eccentricity怪翼：怪群,256.5,195.0,117,14,0.8817750972340342,129
■ Howard Hughes became an eccentric billionaire who had an abnormal,193.5,214.0,309,14,0.7783867026535058,129
fear of germs.,77.0,228.0,62,14,0.7558977219490017,129
霍華·休斯成一名怪翼的富豪，對細菌有不正常的恐。,155.0,241.5,218,13,0.8063890896537774,129
 My uncle is a delightful old eccentric.,124.0,261.5,172,15,0.8398468271901759,129
我极叔是個可爱的怪老子,100.5,275.0,109,12,0.7496184439412886,129
"circum(circul):circle,around",115.5,321.5,181,17,0.8095797144873453,129
circumference [s>*kamforans],97.0,346.0,142,16,0.7227242570915806,129
circum/fer/ence,118.5,365.5,87,17,0.8807479217587044,129
周：周,229.0,372.0,60,14,0.8463265419462748,129
around/carry/名科字足,124.5,378.0,101,16,0.7540415174698865,129
■ Ancient Egyptians calculated the circumference of the globe by,178.5,398.5,281,15,0.977123501543165,129
measuring shadows.,91.5,413.5,89,13,0.8389354705750183,129
古埃及人透逸測量影子計算地球周長·,117.0,427.0,140,10,0.8647674078273834,129
cireuit [°skt],60.5,461.5,71,17,0.8376478326359464,129
巡通：巡路,230.5,480.0,59,14,0.8194767049972848,129
cireu/it,118.0,481.0,46,18,0.7977534468168194,129
around/go,116.0,494.0,54,18,0.877438120621567,129
国circuitous迁避的·曲折的,262.0,495.0,126,14,0.7265930775767653,129
■ The management consultant is a familiar figure on the lecture circuit,189.5,513.5,303,13,0.8549681018544156,129
還名管理問是逛道演的常兒人物。,117.5,528.5,141,13,0.7395902669802085,129
Part2通用學所字巢：依字根分题,302.0,10.0,128,10,0.8036389516899362,130
6,25.5,21.5,19,17,0.7333025146631861,130
MP3082,50.5,22.5,35,11,0.8928908009946506,130
• This factory manufactures circuit boards for radios.,142.0,58.25,226,15,0.9134875935032377,130
这家工生收普用的電路版,98.5,72.5,119,9,0.9743508286774158,130
circulation [sskjolejon],72.5,92.5,111,13,0.828547010337749,130
circul /ation,107.5,111.0,59,16,0.8285979489537115,130
環：流通：發行量,235.0,112.5,94,13,0.9808316818510506,130
around/名员字尾,109.5,125.0,71,12,0.8085122813400858,130
国circulate：流通,238.0,126.5,102,13,0.7531210570665424,130
· High cholesterol tends to impede blood circulation,141.5,147.0,221,10,0.7621634224202112,130
高固醇血液·,86.5,160.0,97,10,0.8058543160303924,130
·There are a lot of counterfeit 2O-dollar bills in circulation,155.0,180.0,250,10,0.862744236242149,130
有許多20元岛秒在市面上流通·,97.0,194.0,118,10,0.9023387242039597,130
• This newspaper has a circulation of over one million.,146.0,212.5,234,13,0.819166349351519,130
退份纸的行量過一百属份·,99.0,226.0,122,10,0.7833024488938816,130
"circumspect [sokom,spckt]",78.5,247.5,123,13,0.7809791335972096,130
circum/ spect,107.5,266.0,65,16,0.828577141192728,130
谨慎的·小心的,226.5,267.5,75,11,0.9716666179602264,130
around/look,106.5,280.0,57,10,0.9300876977137076,130
圆circumspection慎·小心,252.5,281.0,127,10,0.8255141893471037,130
• The man has been successful because he is always circumspect in his,179.5,300.0,301,14,0.7800926203708514,130
dealings,56.5,313.75,39,14,0.8157609535097519,130
此人一向很成功·因為他與人打交道時都非常慎,131.0,327.0,186,10,0.9731727406987523,130
"circumvent [,sskom vcnt]",75.5,347.5,117,13,0.7642149906853783,130
circum /vent,108.5,366.5,59,11,0.9226300245756696,130
国规避,204.5,367.0,33,14,0.9129009331566073,130
around /come,109.5,380.0,61,12,0.8344317407286523,130
circumvention规避,238.0,381.5,100,13,0.8621487885911915,130
• The businessman circumvented government regulations by registering,181.5,401.0,303,12,0.7934713162961488,130
his company with a foreign country.,114.0,415.0,154,14,0.7624094917847188,130
温名自人规率改府法现·包法是将公司登配在外顾,131.0,428.5,184,7,0.8103161840200053,130
recycle [ri'sark],54.0,449.5,76,15,0.7800308103899655,130
re/cycle,108.5,468.5,43,13,0.8287593924424772,130
国回收,204.5,476.0,31,10,0.7357359712702659,130
again / around,105.5,481.5,59,11,0.9121582872981794,130
·One can contribute to carbon reduction simply by recycling old,167.5,502.0,273,10,0.8265415280539957,130
newspapers.,64.5,516.0,53,10,0.7512496665943066,130
我們只要區报·就能對减破做出献,119.5,528.0,163,12,0.8984384828504569,130
MP3083,52.0,13.75,58,24,0.812830934084559,131
"• Recycled paper may look grayish, but is safe to use.",154.5,53.5,237,19,0.9450029547577008,131
再生抵或新看起来厌反的·但可以放心使用·,131.0,67.0,166,12,0.7569230281910954,131
found(fund):bottom,88.5,112.0,129,22,0.8542214717849025,131
profound (pro fand),76.5,137.5,103,19,0.837622993707876,131
pro /found,120.0,158.0,56,18,0.8188619880575904,131
深的·深刻的,241.5,159.5,79,13,0.8574306230882961,131
forward/bottom,113.0,172.0,72,14,0.7115632043540321,131
国profundity深透·深裂,256.5,174.0,111,14,0.8217134069114487,131
• The invention of the contraceptive pill brought about profound changes,198.5,194.0,315,14,0.7402365175314989,131
in the lives of women.,96.5,207.0,99,16,0.8479565832032157,131
避争的發明·對女性的生活带来重大改受·,132.0,221.0,166,10,0.8457473304957248,131
fundamental [fand> mnt]],91.5,252.5,129,15,0.9490824686960342,131
国根本的，基本的,241.5,273.5,79,13,0.8253523948080751,131
fund(a) / mental,120.0,281.0,76,14,0.8160919308986201,131
国fundamentalist基本教義派,267.0,289.0,132,14,0.8755628071811007,131
bottom/形容网字尾,127.0,294.0,82,14,0.7826749445962549,131
形基本教派的,308.5,302.5,63,11,0.8210589867539793,131
■ There's a fundamental difference between these two political parties.,192.0,322.0,310,18,0.7487984851825251,131
這兩個政在本質上是不相同的·,111.0,337.0,126,12,0.8277492893427827,131
found (faund),59.5,356.25,69,20,0.8395077504338351,131
found,119.5,377.0,35,18,0.8372494857606568,131
创立，创设,232.0,378.0,62,14,0.8907904018688462,131
bottom,120.5,390.5,35,15,0.8112428035523553,131
国founder图割立者，创人,261.0,392.0,120,14,0.7424305091696248,131
■ The university was founded by a Christian sect.,146.5,411.5,217,15,0.7572461390211555,131
这所大學是由一個基督教添剩的·,115.0,426.5,134,13,0.8562345333591841,131
foundation [faun dejon],83.0,446.5,112,15,0.8728245836273008,131
found /ation,119.5,465.0,61,18,0.8298329387529452,131
图立：地基：根據：基金會,264.0,474.0,126,12,0.8323283874595702,131
bottom/名字尾,123.5,479.0,73,14,0.7357832246579822,131
The foundations will have to be reinforced to keep the house from,189.0,500.0,290,16,0.8211393706079287,131
sinking further into the ground.,116.5,514.5,137,13,0.7584043388727579,131
地基得加强·以房屋道一步塌陷·,115.5,528.5,135,13,0.7081975769328647,131
Pant2通用學指字量：字根分题,302.0,10.0,128,12,0.8126055306898813,132
0,26.5,21.5,21,17,0.7140875418795107,132
MP3 084,50.5,23.0,37,14,0.8083232087293242,132
• These allegations are completely without foundation,145.5,59.5,231,13,0.8758010609624299,132
这些指控毫無根,74.5,72.5,73,9,0.7562015814296408,132
radic (rudi): root,65.5,117.0,103,20,0.8635850542579734,132
radical [radtk],55.0,141.5,74,11,0.8431447002942496,132
radic/al,107.5,160.5,45,17,0.977656578763129,132
根本的：微底的：激進的,245.0,168.5,114,13,0.8346810430976477,132
root/形容桐字尾,126.0,174.5,66,11,0.8915182714589323,132
• We need to make some radical changes to survive.,140.0,194.25,224,15,0.8786045151474086,132
我们得做出底的改才能生存,102.5,208.0,129,10,0.8244462396661675,132
• These terrorists belong to a radical wing of extremists.,148.5,227.0,241,14,0.8811096951853308,132
這些恐怖分子於端派中的一個派系,119.0,241.0,162,10,0.809490808292818,132
"eradicate (rradt,ket]",65.5,274.0,99,14,0.8226851500199646,132
e/radic / ate,108.0,293.0,62,14,0.9322848084703859,132
根除·消,218.0,294.0,60,14,0.7497450152048502,132
out/root/動字尾,114.5,306.5,79,13,0.8172352304181658,132
国eradication根除·消,245.0,307.5,114,13,0.8529600976067336,132
• Polio has now been completelv eradicated,123.5,326.0,185,10,0.8614542169566706,132
小现在已程完全根除了,98.5,340.5,121,9,0.7885548552774141,132
"erudite [crjo,dat]",58.5,361.0,83,14,0.7280017176649521,132
e/rudi/te,108.0,379.5,54,17,0.9364624463520042,132
學的，博學的,227.5,380.5,75,11,0.7905698969613986,132
out/root/形容字足,120.5,393.5,87,13,0.9601455411257883,132
国erudition名博,228.5,395.0,77,12,0.7198816982561425,132
• The most erudite people in medical research attended the conference.,181.0,414.0,298,10,0.9070690820665389,132
留學研究界最學的人士都参加了道場會,119.5,428.0,161,10,0.8022677901359072,132
"rudimentary [,rud>mcntart]",82.0,449.5,128,13,0.8545939093768616,132
rudi / mentary,108.0,467.5,66,17,0.9529479484789181,132
基本的·初步的,227.5,469.0,75,10,0.873810236235959,132
root/形容字尾,110.0,480.5,68,17,0.9459138935890651,132
rudiment基·入門,241.0,481.5,104,13,0.7888358713613083,132
"• When an infant is borm, it possesses only rudimentary eyesight and",175.5,501.5,291,13,0.8588840732439643,132
cannot see very well.,83.0,515.5,92,13,0.7317397360596999,132
要兒出生時只有基本的视力，看得不清楚·,120.0,528.0,164,12,0.7612961224930928,132
表示「大小」舆「測量」的字根,191.0,32.5,312,37,0.9014499759472538,133
福,343.5,35.5,13,15,0.7696962412558854,133
0,27.5,84.0,21,18,0.8890369783078593,133
MP3085,52.0,86.0,40,14,0.9254363822475287,133
"maxi(magn,maj):gat",92.5,118.5,155,23,0.9653622242152916,133
maximum [mxksomom],77.5,144.5,119,13,0.9468239040221229,133
maxi(m)/um,113.5,165.5,67,17,0.8013835399423814,133
最大限度,225.5,166.0,55,14,0.8246329621580488,133
園最大限度的,290.0,166.0,64,14,0.8197733905395298,133
great/名同字尾,132.5,178.75,67,18,0.9355960187398725,133
国maximal最大限度的,253.5,181.0,109,14,0.8607388322853616,133
• Two hundred dollars is the maximum I am willing to spend on dinner.,192.0,200.5,324,17,0.8857932108438441,133
二百元是我意花在晚餐的上眼。,104.5,215.5,129,13,0.9181388862074136,133
■ What is the maximum speed of this car?,125.0,235.5,190,15,0.8640065432631499,133
這候重的最高诗速為何？,88.0,250.5,96,13,0.8284838017056972,133
magnanimous [meg nanamas],93.5,286.5,149,13,0.8528721337166093,133
magn / anim / ous,115.0,308.5,84,13,0.7987384597866947,133
宽宏大量的,230.5,309.0,63,14,0.8095587158203837,133
great/spirit/形容同字尾,130.0,323.0,104,14,0.9452706693603105,133
magnanimity宽宏大量,258.5,323.5,117,13,0.6693231978883838,133
"• At the end of the game, the winner was magnanimous as the loser was",193.5,343.25,321,14,0.7774189909682906,133
gracious.,62.5,359.0,43,14,0.7564249379948519,133
比赛終了·高家展現氣度、家也随有風度,127.0,372.0,172,10,0.8098511779407304,133
magnificent [mag ntfasont],86.0,397.0,132,14,0.7016145133527106,133
magn(i) / fic / ent,116.0,417.0,82,14,0.7387097592584236,133
壮腿的·宏偉的,240.0,417.5,82,13,0.7891469406405726,133
great/make/形容词字尾,135.0,431.5,106,13,0.7829005928239043,133
国magnificence壮能·宏,264.0,432.5,130,13,0.841996668670271,133
■ From this window you have a magnificent view of the valley below.,188.0,452.0,314,14,0.848030791974731,133
這固窗口看出去·下面是壮的山谷景馥,127.0,467.0,170,10,0.7621893621275149,133
"magnify (°magna,fas]",71.0,491.0,102,14,0.8511496838797736,133
magn(i) / fact / y,115.0,511.0,78,14,0.909804116249149,133
放大·大,231.0,511.0,64,14,0.8146355404425139,133
great/make/動字尾,137.0,525.0,96,14,0.6313520640134812,133
国magnification放大·摘大,265.0,526.5,130,13,0.8380832082313951,133
Part2通用學编字量：字分期,300.5,10.0,127,12,0.8689634081460741,134
MP3 086,43.5,21.5,57,21,0.7503380419453016,134
• Please don’t magnify the problem; I'm sure we can handle it.,162.5,58.0,265,14,0.9789308149062987,134
请例的大間照，我相信我料一定有法解决,120.0,71.5,158,7,0.8508816162275887,134
● A microscope is much more powerful than a magnifying glass.,166.0,90.5,272,13,0.8033502089806888,134
微比放大要强大得多·,91.5,104.0,103,10,0.872229577291775,134
"magnitude [megno,tjud]",75.5,124.5,115,13,0.8940600383702626,134
magn /itude,109.0,143.5,56,11,0.8156410066861717,134
巨大：重大：大小·幅度,243.5,149.5,113,13,0.7854920679332664,134
great/名字尾,113.5,156.0,65,16,0.9448281388481458,134
• I hope you realize the magnitude of the problem,137.5,177.0,211,10,0.7617578678658241,134
我希望你明白問题有多大,88.5,191.0,97,10,0.8623474980612092,134
The magnitude of the earthquake was 6.0 on the Richter scale.,167.5,208.0,263,10,0.8820411292452751,134
地震的模是氏6.0,82.5,221.5,87,13,0.7921376984640792,134
majestic [modystk],65.5,243.0,95,14,0.7766143702745436,134
maj/estic,108.0,260.5,48,11,0.9148512661245126,134
社髓的·威唇的,226.5,261.5,75,11,0.7220942984680799,134
great/形容字尾,115.5,273.5,73,17,0.7362249323733746,134
majesty威·连德,238.5,276.0,99,14,0.8556479550898076,134
The majestic tree is fully 1oo feet tall,118.5,295.0,161,10,0.8000729746208255,134
這天大足定有100英尺高,100.0,308.0,122,12,0.8489490791208163,134
majority (m>dsorot],66.5,328.25,97,15,0.813797542064276,134
maj / ority,109.0,346.5,48,15,0.8038416770683934,134
图大多数,209.5,353.0,43,14,0.9697233667633343,134
great/名字尾,111.0,359.25,64,16,0.8086103968534861,134
A large majority of people support the tax cut.,135.5,380.5,197,13,0.8177358354517915,134
大多数人支持税,80.0,393.0,80,10,0.7350572839322244,134
• The essence of democracy is majority rule.,125.0,412.5,190,13,0.9622658484560602,134
民主的精在於多教决定,88.0,426.0,96,10,0.8784229971776014,134
"aug:increase,great",76.5,469.5,117,13,0.9316178947458477,134
